=== INPUT DATA ===
Chainage: 0, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 3.14, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 3.53, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 4.08, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 4.24, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 4.63, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 5.1, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 5.42, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 5.42, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 6.13, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 6.52, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 6.99, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 6.99, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 7.54, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 7.86, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 8.57, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 8.97, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 8.97, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 9.52, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 10.06, Roll: 0, Pitch: -3.785, Yaw: 227.708, Slope: 0
Chainage: 10.46, Roll: 0, Pitch: -2.668, Yaw: 226.669, Slope: 0
Chainage: 11, Roll: 0, Pitch: -2.668, Yaw: 226.669, Slope: 0
Chainage: 11.16, Roll: 0, Pitch: -2.668, Yaw: 226.669, Slope: 0
Chainage: 11.55, Roll: 0, Pitch: -2.668, Yaw: 226.669, Slope: 0
Chainage: 12.02, Roll: 0, Pitch: -2.668, Yaw: 226.669, Slope: 0
Chainage: 12.65, Roll: 0, Pitch: -2.668, Yaw: 226.669, Slope: 0
Chainage: 13.04, Roll: 0, Pitch: -2.668, Yaw: 226.669, Slope: 0
Chainage: 13.04, Roll: 0, Pitch: -2.668, Yaw: 226.669, Slope: 0
Chainage: 13.51, Roll: 0, Pitch: -2.668, Yaw: 226.669, Slope: 0
